City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
307,Doka,SD,13.5167,35.7667,92.01,10,0,8.72,clear sky
308,Khandbari,NP,27.3747,87.2039,69.96,83,48,1.14,scattered clouds
309,Beitbridge,ZW,-22.2167,30.0,69.08,55,0,7.72,clear sky
310,Poretskoye,RU,55.1974,46.3291,50.2,77,4,17.49,clear sky
311,Awbari,LY,26.5921,12.7805,86.05,13,0,6.64,clear sky
312,Krabi,TH,8.0726,98.9105,82.06,99,20,1.14,few clouds
313,Ossora,RU,59.2353,163.0719,37.13,99,100,3.6,overcast clouds
314,Mehamn,NO,71.0357,27.8492,44.51,82,4,14.07,clear sky
315,Longyearbyen,SJ,78.2186,15.6401,49.84,53,40,13.8,scattered clouds
316,Flinders,AU,-34.5833,150.8552,52.18,83,26,5.99,scattered clouds
317,Mosquera,CO,4.7059,-74.2302,66.29,48,40,10.36,scattered clouds
318,Beira,MZ,-19.8436,34.8389,71.69,88,0,4.61,clear sky
319,Anaco,VE,9.4389,-64.4728,94.93,26,100,10.04,overcast clouds
320,Andenes,NO,69.3143,16.1194,46.38,81,100,2.3,overcast clouds
321,Trincomalee,LK,8.5711,81.2335,81.18,77,20,20.89,few clouds
322,Okahandja,NA,-21.9833,16.9167,60.12,33,0,5.75,clear sky
323,Lusambo,CD,-4.9667,23.45,68.97,97,100,2.24,light rain
324,Khandyga,RU,62.6667,135.6,49.48,66,100,4.38,overcast clouds
325,Matai,TZ,-8.3,31.5167,62.26,66,96,4.12,overcast clouds
326,Dunda,TZ,-8.1167,34.25,64.51,63,68,3.42,broken clouds
327,Sicuani,PE,-14.2694,-71.2261,60.19,33,80,9.42,broken clouds
328,Lugovoy,KZ,42.9472,72.7644,57.34,71,100,4.92,overcast clouds
329,Mbini,GQ,1.574,9.6134,77.23,85,99,5.32,light rain
330,Hasaki,JP,35.7333,140.8333,55.8,80,100,5.46,overcast clouds
331,Beringovskiy,RU,63.05,179.3167,39.0,84,17,7.54,few clouds
332,Zhigansk,RU,66.7697,123.3711,30.76,87,7,12.35,clear sky
333,Awjilah,LY,29.1081,21.2869,94.28,10,0,10.09,clear sky
334,Bulgan,MN,48.8125,103.5347,35.8,84,13,2.98,few clouds
335,Nelson Bay,AU,-32.7167,152.15,53.1,92,5,1.99,clear sky
336,Praia,CV,14.9215,-23.5087,77.54,73,20,12.66,few clouds
337,Lata,PT,40.1629,-8.3327,71.58,52,3,4.59,clear sky
338,Les Cayes,HT,18.2,-73.75,85.55,61,24,12.77,few clouds
339,Sambava,MG,-14.2667,50.1667,71.83,88,15,11.43,light rain
340,Novosokolniki,RU,56.3463,30.1578,43.5,93,50,5.37,scattered clouds
341,Giyani,ZA,-23.3025,30.7187,65.79,65,0,4.68,clear sky
342,Alekseyevka,RU,50.6309,38.6903,55.06,77,72,5.35,broken clouds
343,Lensk,RU,60.7253,114.9278,42.75,64,100,3.2,overcast clouds
344,Husavik,IS,66.0449,-17.3389,48.9,60,6,5.35,clear sky
345,Rong Kwang,TH,18.339,100.3174,74.66,92,67,2.89,broken clouds
